id,language,market,code,name,name_grohe,icon,icon_formula
45,de,DE,IF0,"Chrom, blau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IF0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IF0.png
46,de,DE,IG,"Chrom, gold",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IG0.png
47,de,DE,IG0,"Chrom, gold",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IG0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IG0.png
48,de,DE,IH0,"Chrom, braun",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IH0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IH0.png
49,de,DE,IK0,"Chrom, schwarz",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IK0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IK0.png
50,de,DE,IL0,"Chrom, weiß",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IL0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IL0.png
51,de,DE,IM0,"Chrom, blau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IM0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IM0.png
52,de,DE,IN0,"Chrom, blau",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IN0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IN0.png
53,de,DE,IP0,Chrom,,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IP0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IP0.png
54,de,DE,IS0,"Chrom, rot",,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IS0.png,https://cdn.cloud.grohe.com/Web/colour_plates/106x106/IS0.png
