ID,Language,Market,Name,ParentId,Slug,Image,Priority,MenuVisibility,Type
400083,de,DE,Betätigungsplatte,300080,Betätigungsplatte,https://cdn.cloud.grohe.com/prod/30/37/37535000/480/37535000_1_1.jpg,4,TRUE,Link
400086,de,DE,Wandhängendes Urinal,300086,Wandhängendes_Urinal,https://cdn.cloud.grohe.com/prod/30/39/39438000/480/39438000_1_1.jpg,1,TRUE,Filter
400087,de,DE,Betätigungsplatte,300086,Betätigungsplatte,https://cdn.cloud.grohe.com/prod/30/38/38784000/480/38784000_1_1.jpg,2,TRUE,Filter
400088,de,DE,Wandhängendes Bidet,300088,Wandhängendes Bidet,https://cdn.cloud.grohe.com/prod/10/10/102487SH00/480/102487SH00_1_1.jpg,1,TRUE,Filter
400089,de,DE,Standbidet,300088,Standbidet,https://cdn.cloud.grohe.com/prod/30/39/39340000/480/39340000_1_1.jpg,2,TRUE,Filter
400090,de,DE,Bidetarmatur,300088,Bidetarmatur,https://cdn.cloud.grohe.com/prod/30/32/32935001/480/32935001_1_1.jpg,3,TRUE,Filter
400091,de,DE,Installationswerkzeuge,300091,Installationswerkzeuge,https://cdn.cloud.grohe.com/Web/4_3/ZZH_IKONEC011_001_01_4_3/4_3/1280/ZZH_IKONEC011_001_01_4_3_4_3.jpg,1,FALSE,Link
400092,de,DE,Installationssystem,300091,Installationssystem,https://cdn.cloud.grohe.com/prod/30/38/38528001/480/38528001_1_1.jpg,2,TRUE,Link
400097,de,DE,Berührungslose Dusche,300097,Berührungslose_Dusche,https://cdn.cloud.grohe.com/prod/30/36/36456000/480/36456000_1_1.jpg,1,TRUE,Filter
400098,de,DE,Nicht berührungslose Dusche,300097,Nicht_berührungslose_Dusche,https://cdn.cloud.grohe.com/prod/30/36/36321000/480/36321000_1_1.jpg,2,TRUE,Filter
400099,de,DE,Berührungslose Armatur,300099,Berührungslose_Armatur,https://cdn.cloud.grohe.com/prod/30/36/36332000/480/36332000_1_1.jpg,1,TRUE,Filter
400100,de,DE,Selbstschlußarmatur,300099,Selbstschlußarmatur,https://cdn.cloud.grohe.com/prod/30/36/36317000/480/36317000_1_1.jpg,2,TRUE,Filter
400101,de,DE,Höhenverstellbarer Waschtisch,300099,Höhenverstellbarer_Waschtisch,https://cdn.cloud.grohe.com/Web/4_3/ZZH_IKONEC011_001_01_4_3/4_3/1280/ZZH_IKONEC011_001_01_4_3_4_3.jpg,3,FALSE,Filter
400102,de,DE,Urinal,300102,Urinal,https://cdn.cloud.grohe.com/prod/30/39/39438000/320/39438000.jpg,1,TRUE,Filter
400103,de,DE,Höhenverstellbare Toilette,300102,Höhenverstellbare_Toilette,https://cdn.cloud.grohe.com/Web/4_3/ZZH_IKONEC011_001_01_4_3/4_3/1280/ZZH_IKONEC011_001_01_4_3_4_3.jpg,2,FALSE,Filter
400104,de,DE,Berührungslose Betätigungsplatte,300102,Berührungslose_Betätigungsplatte,https://cdn.cloud.grohe.com/prod/30/38/38698SD1/480/38698SD1_1_1.jpg,3,TRUE,Filter
400105,de,DE,Druckventil,300102,Druckventil,https://cdn.cloud.grohe.com/prod/30/37/37347000/480/37347000_1_1.jpg,4,TRUE,Filter
400106,de,DE,Handfernbedienung/Spülung,300102,Handfernbedienung/Spülung,https://cdn.cloud.grohe.com/prod/30/36/36407000/480/36407000_1_1.jpg,5,FALSE,Filter
400155,de,DE,Für gefiltertes Wasser,300155,Für_gefiltertes_Wasser,https://cdn.cloud.grohe.com/prod/30/30/30581000/320/30581000.jpg,1,TRUE,Filter
400156,de,DE,"Für gefiltertes, gekühltes & sprudelndes Wasser",300155,"Für_gefiltertes,_gekühltes_&_sprudelndes_Wasser",https://cdn.cloud.grohe.com/prod/30/31/31323002/320/31323002.jpg,2,TRUE,Filter
400157,de,DE,Für gefiltertes & kochendes Wasser,300155,Für_gefiltertes_&_kochendes Wasser,https://cdn.cloud.grohe.com/prod/30/30/30079001/320/30079001.jpg,3,TRUE,Filter
400160,de,DE,Armatur,300160,Armatur,https://cdn.cloud.grohe.com/prod/30/31/31543000/1500/31543000.jpg,1,TRUE,Filter
400161,de,DE,Kühler,300160,Kühler,https://cdn.cloud.grohe.com/prod/40/40/40711000/1500/40711000.jpg,2,FALSE,Filter
400162,de,DE,CO2-Flasche,300160,CO2-Flasche,https://cdn.cloud.grohe.com/prod/40/40/40422000/480/40422000_1_1.jpg,3,TRUE,Filter
400163,de,DE,Filter,300160,Filter,https://cdn.cloud.grohe.com/prod/40/40/40404001/480/40404001_1_1.jpg,4,TRUE,Filter
400164,de,DE,Zubehör,300160,Zubehör,https://cdn.cloud.grohe.com/prod/40/40/40405001/480/40405001_1_1.jpg,5,TRUE,Filter
400165,de,DE,Für die Installation,300160,Für_die_Installation,https://cdn.cloud.grohe.com/prod/40/40/40843000/480/40843000_1_1.jpg,6,TRUE,Filter
400167,de,DE,CO2-Flasche,300167,CO2-Flasche,https://cdn.cloud.grohe.com/prod/40/40/40422000/480/40422000_1_1.jpg,1,TRUE,Filter
400168,de,DE,Filter,300167,Filter,https://cdn.cloud.grohe.com/prod/40/40/40691002/480/40691002_1_1.jpg,2,TRUE,Filter
400169,de,DE,Reinigungskartusche,300167,Reinigungskartusche,https://cdn.cloud.grohe.com/prod/40/40/40434001/480/40434001_1_1.jpg,3,TRUE,Filter
400186,de,DE,For filtered & sparkling water,,For_filtered_sparkling_water,https://cdn.cloud.grohe.com/prod/10/10/1044210001/480/1044210001_1_1.jpg,1,FALSE,Filter
400192,de,DE,Filtered & boiling water,,Filtered_boiling_water,https://cdn.cloud.grohe.com/prod/30/30/30031DC1/480/30031DC1_1_1.jpg,2,FALSE,Filter
500005,de,DE,Kopfbrauseset,400005,Kopfbrauseset,https://cdn.cloud.grohe.com/prod/20/26/26558000/480/26558000_1_1.jpg,1,TRUE,Filter
500006,de,DE,Kopfbrause Unterputz,400005,Kopfbrause_Unterputz,https://cdn.cloud.grohe.com/prod/20/26/26373001/480/26373001_1_1.jpg,2,TRUE,Filter
500007,de,DE,Kopfbrause Aufputz,400005,Kopfbrause_Aufputz,https://cdn.cloud.grohe.com/prod/20/26/26569000/480/26569000_1_1.jpg,3,TRUE,Filter
500008,de,DE,Zubehör für Kopfbrause,400005,Zubehör_für_Kopfbrause,https://cdn.cloud.grohe.com/prod/20/28/28361000/480/28361000_1_1.jpg,4,TRUE,Filter
