COD_MATERIAL,COD_CHAR,VALUE_COMBINED
46895DC0,L3063,"15,0 L/MIN - 0,2 BAR"
29407DC0,L1293,22
31571SD1,L1204,45
31696000,L1293,13
31153002,L1006,MEDIUM
38841000,L1169,1.13
30630000,L1018,U
38415001,L1169,0.82
32488KF0,L1018,U
39191000,L1169,1.13
32903000,L1008,160 MM
37855000,L1169,0.82
31572SD0,L1308,97/50
29408GL0,L1293,22
30312DC0,L1293,14
33202003,L1018,C
332022433,L1293,11
31571SD0,L1204,45
30503000,L1018,SP
38515000,L1169,1.2
30470000,L1293,10.5
30274AL0,L1293,9
32661DC3,L1018,C
101680GL00,L1042,III
1039970000,L1102,310
1012320000,L1006,LOW
1012320000,L1079,"3/8"""
1039970000,L1380,44
1017582430,L1293,3.5
101680GN00,L1380,15.3
1012350000,L1079,"3/8"""
13952AL0,L3063,"30,0 L/MIN - 3 BAR"
1018602430,L1293,3.5
1039960000,L1044,110
1017510000,L1293,3.5
101680DA00,L1011,N
1012400000,L1006,LOW
19895AL0,L1293,13
19573002,L1293,13
19787AL1,L1049,2000
13385000,L1147,113
24419DC0,L1293,4.5
38994000,L1222,6
30079DC1,L1231,Y
38519001,L1199,0
37313000,L1169,1.2
48196DC0,L1293,19
48251DC0,L1293,6.6
41206000,L1293,33.7
28769001,L1051,900
40691002,L1214,400
40412001,L1214,2500
48458000,L1079,XXX
104991DA00,L1000,26
104992DL00,L1000,26
1047470000,L1293,4.5
104743MG00,L1014,N
104744GN00,L1014,N
104989DL00,L1000,26
104987MS00,L1000,26
1049940000,L1000,26
104986DL00,L1000,26
104991KF00,L1102,XXX
45771000,L3059,23
28497LS0,L1000,26
30196000,L1006,MEDIUM
30083DC1,L1231,Y
24365MS0,L1006,XL
26582000,L1044,130
31722000,L1293,9.5
32659DC1,L1293,13
30484001,L1293,13
34482001,L1293,10
24368DA0,L1293,22
26564DA0,L1293,7.5
31615000,L1293,10
24069000,L1293,30
31615GL0,L1293,10
31615DL0,L1293,10
30362000,L1293,13
31615GN0,L1293,10
26564AL0,L1293,7.5
31554001,L1293,11.5
26669000,L1102,250
31574DL0,L1003,"3 1/2"""
29523DC0,L1049,2000
31650AT0,L1000,15
30433000,L1006,MEDIUM
31563SD1,L1003,"3 1/2"""
31650AT0,L1003,"3 1/2"""
31564SD0,L1203,RV
31655AT0,L1308,"61/45,7"
31657AT0,L1203,LH
31593002,L1293,10
31563SD0,L1204,45
31930001,L1014,Y
34854001,L1293,7.6
32114001,L1079,"3/8"""
34871000,L1381,13.5
34705000,L1380,22.5
34742000,L1380,7.5
34744000,L1381,9
33262000,L1008,75 MM
33260000,L1008,75 MM
30294A00,L1016,09
31541DC0,L1231,Y
30431DC0,L1018,C
27058000,L1102,210
26087000,L1102,230X230
26861000,L1102,254X254
26860000,L1102,254X254
27473002,L1102,260
26784000,L1102,334X111
26861MS0,L1102,254X254
29097LS3,L1008,110 MM
31577SD0,L1308,"58,5/44"
31575SD1,L1308,76/45
20021DA3,L1006,XS
26936001,L1044,110
26932001,L1044,110
27574003,L1044,110
26054000,L1102,230
26055000,L1000,26
26069000,L1000,26
26786000,L1000,26
27584003,L1042,III
31642AT0,L1200,"1,5"
26054000,L1107,286
25229DC0,L1293,21.5
27744000,L1293,9.5
26087000,L1293,13
25272GN0,L1293,21.5
25222A01,L1293,22
25227DL0,L1293,21.5
27668000,L1293,9.5
32663DC3,L1293,9.5
24169DA1,L1293,34
26815000,L1102,250
31642AT0,L1003,"3 1/2"""
25248KF1,L1049,1250
23846DC3,L1293,18.5
27227001,L1051,900
26603GN0,L1051,900
27404LS1,L1052,30
28362GN0,L1049,1250
25221DC1,L1049,2000
25221GL1,L1049,2000
27251DC0,L1361,127
27945001,L1293,7.6
27324000,L1293,8.2
27927003,L1042,III
31491DC0,L1018,SP
27946000,L1381,5.5
28286000,L1382,16
27732000,L1381,9.5
27597003,L1381,13.5
26075GN0,L1380,13.5
26075000,L1380,13.5
26692001,L1381,5.6
27475001,L1380,7.5
134865GN00,L1044,120
134864GN00,L1042,III
134863AL00,L1044,120
107055DA00,L1293,37.5
107056GL00,L1293,37.5
107056KI00,L1293,37.5
321142431,L1079,"3/8"""
321092431,L1006,XS
1060590000,L1147,189
106063LS00,L1147,120
106067KS00,L1147,158
260672430,L1107,185
264812430,L1107,142
265662430,L1380,7.5
107056KI00,L1380,37.5
12092A00,L1147,57
33482G00,L1011,Y3
05172L00,L3059,53
23585001,L1006,XL
102488SH00,L1000,10
2337210E,L1002,07
26415000,L1102,210
268042430,L1102,210
27032001,L1102,210
27661000,L1044,115
26094000,L1042,IV
26698000,L1102,250X250
24170GL1,L1006,XL
24165003,L1006,XL
261612433,L1044,110
27571003,L1044,110
26161003,L1044,110
26093001,L1044,110
26507A00,L1102,310
26479GN0,L1102,310
26401000,L1102,310
26373000,L1000,26
26459000,L1107,380
24071DC0,L1293,34
27672XH0,L1293,9.5
26642000,L1293,7.5
26884000,L1293,12.5
25224AL0,L1293,21.5
26802DL0,L1293,3.3
24356DA0,L1293,34
28404000,L1293,95
27296001,L1293,15.5
27630000,L1293,23.5
23664000,L1100,29
26479DL0,L1107,400
27986IG0,L1107,285
26479DA0,L1107,400
26163001,L1051,900
27700000,L1051,900
26578LS0,L1052,30
28347000,L1052,30
27799003,L1293,13.5
26910003,L1293,7.4
26161003,L1293,7.4
26960001,L1293,7.4
27296003,L1291,III
26162003,L1381,7.4
26161001,L1381,9
263972431,L1381,7.4
26060000,L1380,19.5
27941001,L1381,7.6
26889000,L1381,15
26908003,L1381,7.4
27367000,L1381,15
27369000,L1293,8.2
268272431,L1380,8.3
37204000,L1148,575
13966000,L1147,210
100962DC00,L1044,130
100964GL00,L1044,130
0313900M,L3059,32
13960000,L3063,"7,5 - 9,0 L/MIN - 3 BAR"
0141600M,L3059,28.5
0599900M,L3059,21
1018840000,L1079,"3/8"""
102417SH00,L1000,23
24095DL1,L1293,34
33848GN1,L1079,"3/8"""
30567GN0,L1018,U
28413RR0,L1049,2000
25015000,L1011,Y3
25025L00,L1011,Y3
37579000,L1169,1.2
37187000,L1148,575
26481GL0,L1293,44
26481GL0,L1380,44
26668000,L1102,250
28362000,L1049,1250
261642433,L1381,7.4
26675001,L1042,III
26250000,L1380,40
19578DA1,L1049,2000
19922AL3,L1293,22
26475EN0,L1380,44
26566A00,L1380,7.5
26695000,L1102,250X250
21140MG0,L1006,XL
13937000,L1293,14.9
25288000,L1381,13.5
26837DC0,L1102,310
26837AL0,L1380,9.5
19922DC3,L1049,2000
26947001,L1293,13.5
26075AL0,L1293,13.5
23856001,L1006,XXL
27924001,L1293,9
26408000,L1293,21
26475DL0,L1102,310
26475GL0,L1107,400
26163003,L1381,7.4
26075BE0,L1102,310
26508LS0,L1381,9
31316000,L1006,MEDIUM
33188002,L1002,07
31489000,L1016,09
32917KS0,L1018,C
31539DC0,L1231,Y
30529001,L1018,C
31482003,L1018,C
31482002,L1018,C
31456000,L1018,U
30145000,L1018,U
30465000,L1006,LOW
31552SD0,L1000,15
39883000,L1222,6
30195000,L1006,MEDIUM
3965000H,L1308,1800X900
31568SD0,L1203,RV
38981000,L1169,1.13
30609DL0,L1293,13
31255DC0,L1293,9.5
30307001,L1293,10.5
34731000,L1293,15
30260003,L1293,9.5
34835001,L1052,30
31326DC2,L1293,7
31565SD0,L1204,45
30270000,L1079,"3/8"""
28796000,L1381,21
34706000,L1380,22.5
64451AL0,L1293,15
32441DC1,L1293,13
31379A00,L1293,34.5
31699000,L1293,11
31379DC0,L1293,14.5
324412432,L1293,11
48343AL0,L1293,19
29408KF0,L1293,22
37048000,L1222,6
37141000,L1199,0
39439000,L1000,23
31302002,L1018,C
30294BE0,L1016,09
32950A00,L1016,09
33281DC2,L1006,LOW
34566000,L1052,30
28724000,L1107,142
34712000,L1380,44
48009000,L1293,52
48370DC0,L1293,9
46965AL0,L3063,NO LIMIT
48270000,L3063,"6,6 L/MIN"
48376000,L1293,5.7
48159DC0,L3063,"5,7 L/MIN"
48370000,L1293,9
37349000,L1222,6
39490000,L1222,"4,5"
46837AL0,L3063,"5,7 L/MIN"
39496000,L1000,10
38222000,L1157,11
30470000,L1018,U
31693000,L1293,11
38699001,L1222,6
39501000,L1222,6
29408000,L1049,2000
37856000,L1169,0.82
39472000,L1308,60
38778000,L1199,0
3933600H,L1000,23
40888000,L1067,"18"""
38415001,L1222,6
31573SD0,L1000,15
31358DC2,L1293,9
38517000,L1169,1.2
34237003,L1381,7.4
31572SD0,L1200,"1,5"
31128001,L1006,MEDIUM
32511000,L1018,C
38516000,L1169,1.2
31126004,L1018,C
31648AP0,L1003,"3 1/2"""
1017580000,L1079,"3/8"""
101680DA00,L1293,15.3
1017512430,L1293,3.5
0119800M,L3059,18
101680KI00,L1293,15.3
14921000,L1000,23
1016800000,L1044,130
0120500M,L3059,22
06574DC0,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
23131000,L1002,07
22127KF0,L1044,130
20422001,L1006,XS
23051002,L1006,XS
23425000,L1100,29
20143000,L1008,200 MM
23054003,L1293,13
23132000,L1293,10
22125KF0,L1051,900
19923AL3,L1049,2000
23405AL1,L1006,XL
23351001,L1079,"3/8"""
3947400H,L1308,50
30079000,L1018,C
39327000,L1000,23
39328000,L1000,23
32781000,L1011,Y2
38519000,L1169,1.2
38661000,L1169,1.13
46229L00,L1147,95
30530002,L1293,11
31369000,L1293,10
48055000,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
45220000,L3063,"8,3 L/MIN - 3 BAR"
1049860000,L1102,334X334
104743KF00,L1014,N
104990DL00,L1102,XXX
104990DC00,L1102,XXX
104742GN00,L1293,4.5
104742MS00,L1293,4.5
104744KF00,L1293,4.5
104743DA00,L1014,N
104990GL00,L1102,XXX
104745DC00,L1006,XL
104988DC00,L1000,26
104986MG00,L1102,334X334
104989DC00,L1000,26
104991DA00,L1102,XXX
104747DC00,L1293,4.5
21069000,L1002,07
28063G00,L1291,IV
33284000,L1002,07
27606001,L1293,9
29124GL0,L1293,29
27698000,L1293,15
31324DC1,L1018,U
2757830E,L1381,5.6
28605001,L1079,XXX
30215DC0,L1018,C
26457000,L1291,III
23971003,L1006,XL
26564DC0,L1102,310
30440DC0,L1293,9
24096003,L1293,34
32670002,L1293,10
26558DC0,L1102,310
32488000,L1018,U
30584000,L1231,Y
31652AT0,L1003,"3 1/2"""
31658AP0,L1003,"3 1/2"""
31658AP0,L1308,90/50
31653AP0,L1308,"45,7/40,6"
34333000,L1293,18
29418000,L1293,22
29418000,L1049,2000
26582DA0,L1044,130
26458000,L1380,12.5
34868000,L1381,12.5
31201000,L1018,C
23719003,L1006,XL
26770001,L1102,XXX
31578SD0,L1000,17
27272000,L1044,150
27960000,L1102,160
26986001,L1102,250X250
26786000,L1102,334X111
31644AP0,L1308,86/50
27925003,L1044,110
27926003,L1044,110
33982001,L1006,LOW
25227000,L1011,Y3
25227AL0,L1011,Y3
27588001,L1042,III
27953001,L1042,III
31642AT0,L1203,RV
23856GL1,L1006,XXL
26860000,L1107,286
27675000,L1293,9.5
25229GN0,L1293,21.5
25222DA1,L1293,22
27578002,L1293,12.5
2760110E,L1293,5.5
33490002,L1293,13
24356MS0,L1293,34
25229MG0,L1293,21.5
31341000,L1293,13
33982002,L1293,13
25241003,L1293,22
33190002,L1293,13
26075GN0,L1293,13.5
33555002,L1293,16
26075001,L1293,13.5
31541000,L1293,7
34793000,L1293,17
23454000,L1079,"3/8"""
266802430,L1102,250
28413001,L1049,2000
27226EN1,L1051,900
26936001,L1051,900
27226EN1,L1052,30
27524000,L1052,30
27737000,L1052,30
27733000,L1052,30
27797000,L1052,30
27273000,L1052,30
23667000,L1049,1250
27513GN1,L1049,1250
28286000,L1361,50
28142002,L1050,49
31645AP0,L1204,60
31642AP0,L1204,60
31576SD0,L1204,60
27574003,L1293,7.4
26986001,L1293,7.9
33848AL1,L1079,"3/8"""
27062000,L1291,V
27615002,L1291,III
26558GN0,L1380,7.5
27951002,L1381,7.4
27449000,L1381,23.5
27322000,L1381,8.2
26986001,L1381,7.4
27400DC0,L1381,8.2
134864GN00,L1044,120
134865DL00,L1044,120
134865DC00,L1042,III
38430000,L1148,445
25248PF1,L1049,1250
107055AL00,L1102,400X230
24059GN4,L1293,30
107055DC00,L1293,37.5
32618DL4,L1006,XL
106058KS00,L1147,167.5
106058LS00,L1147,167.5
107055GN00,L1107,400
37754000,L1169,1.2
37758000,L1169,2.1
26926001,L1293,13.5
27929003,L1293,13.5
26473000,L1102,210
26223001,L1102,210
26176000,L1042,III
27663000,L1042,IV
26462000,L1102,260
102487SH00,L1000,23
20142000,L1006,XS
27232001,L1044,110
27789003,L1044,110
26639003,L1044,110
27230001,L1044,110
26475MS0,L1102,310
26477000,L1102,310
26257000,L1102,310
26568000,L1102,310
26735000,L1000,26
26576LS0,L1044,130
23116000,L1006,XXL
23060001,L1293,18
24364GN0,L1293,10
27945000,L1293,5.5
27790002,L1293,9
26332000,L1293,10
27673000,L1293,9.5
26566MS0,L1293,7.5
24364DA0,L1293,10
26889000,L1293,15
26885A00,L1293,9.5
26561LS0,L1293,19
26037001,L1293,6
26405000,L1049,1250
28155001,L1049,2000
26771003,L1051,900
26953001,L1051,900
269612431,L1051,900
26957001,L1051,900
26954001,L1052,30
2639810E,L1293,5.6
26507A00,L1011,N
23777001,L1079,"3/8"""
27943001,L1293,7.6
26638003,L1293,7.4
26956001,L1293,7.4
26097001,L1042,III
26403KF2,L1291,III
26399000,L1381,7.5
26508000,L1381,9
26475MS0,L1380,44
26802MG0,L1382,3.3
26801DC0,L1382,3.3
27939001,L1380,35.5
27940000,L1381,5.5
27941000,L1381,5.5
27788002,L1381,12.5
27633000,L1381,23.5
26929001,L1381,13.5
27285000,L1380,7
31325KS2,L1018,C
37191000,L1169,1.2
37174000,L1148,420
13373DA0,L3063,"5,7 L/MIN"
100962KF00,L1293,15.3
14928000,L1000,23
100962AL00,L1293,15.3
23345001,L1079,"3/8"""
100962AL00,L1380,15.3
13373000,L1147,114
13959000,L1293,9
1018760000,L1008,153 MM
1009620000,L1042,III
1016932430,L1006,XS
13374000,L3063,"5,7 L/MIN"
102418SH00,L1308,60
134502430,L1293,21
100961KI00,L1011,N
102416SH00,L1308,60
30470GN0,L1293,10.5
274002430,L1293,8.2
28694000,L1051,900
46125L00,L1147,95
26560DL0,L1000,26
26974001,L1042,III
261642433,L1293,7.4
23447DC0,L1293,13
26836GL0,L1293,9.5
26836GN0,L1380,9.5
26475A00,L1107,400
23356000,L1079,"3/8"""
25010AL3,L1293,33.5
24417000,L1006,XL
261642433,L1049,1250
26837A00,L1293,9.5
13929G00,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
26508GN0,L1102,310
2337520E,L1002,07
26566DA0,L1102,310
101676DA00,L1044,130
24161001,L1293,34
26560GL0,L1000,26
26460000,L1380,12.5
26687000,L1380,8.3
101676GN00,L1044,130
26075DA0,L1102,310
26075AL0,L1380,13.5
26945001,L1381,7.4
21140DC0,L1006,XL
26972001,L1293,13.5
26874000,L1102,254X254
26947001,L1381,13.5
20658DA0,L1006,XS
31486001,L1018,C
30362AL0,L1018,C
30269GL0,L1293,6
30305DC1,L1006,LOW
37421000,L1199,0
39882000,L1199,0
3282700E,L1002,07
31565SD1,L1000,15
38811KF0,L1222,6
30617000,L1006,MEDIUM
30464000,L1006,MEDIUM
30463000,L1006,MEDIUM
31580SD0,L1003,"3 1/2"""
35085000,L1008,140 MM
3961400H,L1308,1800X800
32777000,L1011,Y2
39374KS0,L1169,1.13
39888000,L1169,1.13
38827000,L1169,1.13
31482003,L1293,9.5
34730000,L1293,15
31536001,L1293,11.5
30465000,L1293,11
34799000,L1293,17
32322002,L1293,9
30444DC0,L1293,10
31456001,L1293,10.5
36133000,L1293,9
32454000,L1293,10
34835000,L1051,900
34321002,L1051,900
28819000,L1052,30
42629000,L1049,800
34784000,L1381,12.5
33930002,L1006,MEDIUM
64451000,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
30145DC0,L1018,U
34506000,L1049,1250
25224KF0,L1049,2000
26873KF0,L1102,508X508
31484001,L1293,9.5
266732431,L1293,7.3
1057889990,L1079,XXX
48458KF0,L1079,XXX
40888KF0,L1067,"18"""
39641000,L1000,23
39438000,L1000,23
39440000,L1000,23
30294DA0,L1016,09
31685000,L1006,LOW
33312002,L1006,MEDIUM
237772431,L1006,XL
38643000,L1148,470
105812KF00,L1380,18.3
37349000,L1199,0
48418DC0,L1293,15
45248000,L1147,70
48547000,L3063,"4,5 L/MIN"
39930000,L1222,6
39940000,L1169,1.13
48379KS0,L3063,"19,0 L/MIN"
46967000,L3063,NO LIMIT
3933500H,L1308,60
48271000,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
48159DC0,L1293,5.7
46718000,L1293,15
48370KS0,L1293,9
48194KS0,L3063,"19,0 L/MIN"
39427000,L1000,23
48072000,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
304702430,L1018,U
40920000,L1216,4
39472000,L1000,23
31585SD0,L1204,120
34769000,L1381,12.5
34769001,L1381,7.4
31358DC2,L1018,C
39300000,L1308,1000X1000
31649AP0,L1000,15
39115000,L1169,1.13
38956000,L1222,6
31647AT0,L1000,15
32109001,L1006,XS
31648AT0,L1003,"3 1/2"""
38839000,L1222,6
37339000,L1199,0
29407MG0,L1049,2000
28587000,L1052,30
31649AT0,L1203,RV
31585SD1,L1204,120
1039980000,L1107,422
13427000,L3063,"5,7 L/MIN"
1017490000,L1079,"3/8"""
103538SH00,L1308,40
1012340000,L1079,"3/8"""
13445000,L1147,230
1012350000,L1018,U
1039960000,L1107,380
101680GN00,L1044,130
23055002,L1006,XL
100739MG00,L1102,310
13930000,L3063,"55,0 L/MIN - 3 BAR"
13941DC0,L3063,"34,8 - 37,8 L/MIN - 3 BAR"
13915000,L1293,15
13264MS1,L1293,22
19965001,L1049,2000
1017310000,L1079,"3/8"""
1017312430,L1079,"3/8"""
38528001,L1222,6
3948100H,L1308,50
30079DC0,L1018,C
305302432,L1006,LOW
46724000,L3063,LOW PRESSURE
38728001,L1169,1.13
49015000,L1293,30
305302432,L1293,11
39347000,L1222,6
48056000,L1293,30
27165LG0,L1049,2000
1049860000,L1000,26
104743DA00,L1293,4.5
104742AL00,L1293,4.5
104746GL00,L1293,4.5
275882433,L1042,III
1047460000,L1293,4.5
275882433,L1293,7.4
104986GL00,L1000,26
