COD_MATERIAL,COD_CHAR,VALUE_COMBINED
107056LS00,L1293,37.5
107055LS00,L1293,37.5
107056DL00,L1293,37.5
1068810000,L1228,4
260922431,L1042,III
29306004,L1008,110 MM
106059KS00,L1147,189
106061LS00,L1147,198.5
107055LS00,L1107,400
107055GL00,L1107,400
260662430,L1107,380
107055GN00,L1380,37.5
28196IN0,L1291,IV
30147DC0,L1018,U
28196000,L1291,IV
28196G00,L1291,IV
27672PV0,L1042,IV
27938001,L1102,381X678
102485SH00,L1000,23
24170DA1,L1006,XL
26648LS0,L1102,310
26507GL0,L1102,310
27982000,L1000,26
25272DA0,L1011,Y3
27939001,L1291,III
27888DL0,L1293,9.5
26567LS0,L1293,19
23209000,L1293,22
24353AL0,L1293,13
23145AL0,L1293,34
26852000,L1293,6
25251DA1,L1293,22
24135GL3,L1293,18
26649000,L1293,13.5
23558002,L1293,19
26475LS0,L1293,44
26254LS0,L1293,39
24066DC3,L1293,18.5
25219001,L1049,1250
25224DA0,L1049,2000
25224AL0,L1049,2000
25224000,L1049,2000
26955001,L1052,30
23900001,L1079,"3/8"""
26957001,L1293,7.6
26093001,L1293,7.4
27230001,L1293,16.6
27266001,L1293,21.7
26096001,L1042,III
26254LS0,L1380,39
26195000,L1381,16
26561000,L1380,19
26507DL0,L1381,16
26951001,L1381,13.5
28233000,L1380,7.5
27799001,L1381,12.5
2779930E,L1381,5.6
27672TN0,L1381,9.5
26926001,L1381,13.5
26672001,L1380,7.3
27296001,L1380,15.5
26698001,L1381,7.4
23048003,L1381,11
37203000,L1169,1.2
37178000,L1169,0.82
37172000,L1169,1.2
37169000,L1148,575
134482433,L1293,30
1018922430,L1079,"3/8"""
13374AL0,L1147,127
23347001,L1293,14
100961KF00,L1042,III
13373AL0,L3063,"5,7 L/MIN"
100962GN00,L1380,15.3
100964KF00,L1042,III
13448003,L1293,30
100964GL00,L1011,N
13376KF0,L1147,220
100964GL00,L1293,8.4
13374000,L1147,127
100964KF00,L1044,130
1018750000,L1011,N
100964DA00,L1044,130
20598001,L1006,XS
38462000,L1158,07
38511001,L1169,1.13
12092Z00,L1147,57
36298000,L1051,900
31383DC0,L1018,U
28567000,L1051,900
46129H00,L1147,95
26566A00,L1102,310
28362A00,L1049,1250
26836DA0,L1102,310
22122KF0,L1293,7.5
26475GN0,L1102,310
266962431,L1380,7.3
26481DC0,L1000,26
261632433,L1044,110
26479AL0,L1380,11.5
26475DA0,L1102,310
22106000,L1049,1250
26944001,L1293,7.4
26461000,L1000,26
26461000,L1107,142
20658DC0,L1006,XS
26481KF0,L1293,44
20404001,L1006,XS
23135000,L1293,10
24399AL0,L1293,4.5
26733000,L1380,36
26566DL0,L1293,7.5
21139000,L1002,07
26460000,L1000,26
26481LS0,L1000,26
26164001,L1381,9
26837A00,L1102,310
26546000,L1044,130
26509000,L1102,260
269772431,L1293,7.9
26075DA0,L1381,11.5
14974001,L1000,23
25013000,L1011,Y3
25229AL0,L1293,21.5
34277000,L1011,N
31325002,L1231,Y
31326002,L1231,Y
30609000,L1018,C
31299DC0,L1018,U
30531001,L1006,LOW
31581SD0,L1308,116/52
31726SD0,L1308,55/45
30609000,L1293,13
36415000,L1293,16
34215002,L1293,18
40451000,L1293,5.7
34805000,L1052,30
40575001,L1214,3000
28765000,L1381,11
64186AL0,L1293,15
32663001,L1293,13
30567DC0,L1293,10.5
30567000,L1293,10.5
29123AL0,L1293,29
48280000,L1293,4.5
317142430,L1293,11
37139000,L1222,6
28575000,L1051,900
237772431,L1079,"3/8"""
32663001,L1018,C
32441DC2,L1006,LOW
21149KF0,L1006,XL
39642000,L1308,60
39865000,L1222,6
39902000,L1222,6
46794000,L3063,"4,5 L/MIN - 3 BAR"
481592430,L3063,"5,7 L/MIN"
48408000,L1293,5.7
37346000,L1199,0
46895DC0,L1293,15
46791000,L3063,"5,0 L/MIN"
38939000,L1222,6
46718DC0,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
48418000,L3063,"15,0 L/MIN - 3 BAR"
48370KS0,L3063,"7,5 - 9,0 L/MIN - 3 BAR"
30589000,L1231,Y
31142000,L1006,LOW
30085DA1,L1018,C
31583SD0,L1000,17
30273DC1,L1006,MEDIUM
32278002,L1293,22
30590KF0,L1231,Y
46093000,L1147,170
31646AP0,L1000,15
30503DC0,L1006,MEDIUM
37060L00,L1157,11
30269A00,L1293,6
31646AT0,L1003,"3 1/2"""
31571SD1,L1203,RV
31647AT0,L1204,80
31573SD0,L1203,RV
31302DC1,L1018,C
31649AT0,L1000,15
13317AL1,L1293,22.5
13317DC1,L1293,22.5
101680DC00,L1380,15.3
1018550000,L1006,XS
38911000,L1169,1.13
101680AL00,L1293,15.3
100739MS00,L1102,310
23428LS0,L1100,29
13926000,L3063,"27,0 L/MIN - 3 BAR"
22123KF0,L1293,44
13264MG1,L1293,22
13925000,L1293,15
13375000,L1147,179
19919000,L1293,22
19897AL1,L1293,21.5
39429000,L1000,10
43996000,L1222,6
39206000,L1000,23
38584001,L1169,1.13
30406000,L1293,10.5
32184000,L1293,10
3932800H,L1000,23
28769001,L1381,11
27165IG0,L1049,2000
104991GL00,L1000,26
104990GN00,L1000,26
1047420000,L1293,4.5
104746MG00,L1293,4.5
104994DC00,L1000,26
104742DC00,L1014,N
104989MG00,L1000,26
104986KF00,L1102,334X334
104745MS00,L1006,XL
104991DL00,L1000,26
104987DA00,L1000,26
104744GL00,L1293,4.5
104994AL00,L1000,26
104988DA00,L1000,26
104986MS00,L1102,334X334
104745KF00,L1293,4.5
104988DL00,L1000,26
28933000,L1052,30
32826A01,L1293,22
34735000,L1293,15
28419003,L1293,7.4
27225000,L1051,900
2760130E,L1381,5.6
31543000,L1231,Y
31498DC1,L1231,Y
31573SD1,L1000,15
31367001,L1018,C
30549000,L1018,C
24365DL0,L1006,XL
26477DL0,L1000,26
26477GN0,L1000,26
26586000,L1044,130
26558DC0,L1293,7.5
24368GL0,L1293,22
26564000,L1293,7.5
26357000,L1293,7
30198000,L1293,11.5
23413001,L1293,19.5
31575SD0,L1003,"3 1/2"""
31574SD0,L1003,"3 1/2"""
24368MS0,L1049,1250
24368DC0,L1049,1250
24368GL0,L1049,1250
34853001,L1051,900
19922003,L1293,22
31573SD1,L1204,45
32917AL0,L1018,C
30276001,L1018,C
31650AP0,L1003,"3 1/2"""
31658AT0,L1203,RV
32111000,L1011,Y2
31654AP0,L1000,18
34766000,L1293,26
32917LS0,L1293,11
30582000,L1214,3000
31562SD0,L1204,45
26250LS0,L1380,40
27595001,L1079,XXX
27796003,L1293,13.5
31578SD1,L1000,17
31212001,L1018,C
27967000,L1102,210
26692000,L1102,250X250
31643AP0,L1308,116/50
31643AT0,L1308,116/50
26067GN0,L1107,185
27946001,L1044,110
27226001,L1044,110
27949002,L1044,110
27355000,L1044,110
26075001,L1102,310
26067GL0,L1102,310
25229MG0,L1011,Y3
31643AT0,L1203,RV
31645AP0,L1203,RV
31575SD1,L1203,LH
31643AT0,L1200,"1,5"
32208001,L1293,10
26558GL0,L1293,7.5
33591002,L1293,22
32187000,L1293,10
32168000,L1293,10
25224DL0,L1293,21.5
29126DA0,L1293,36
26801MG0,L1293,3.3
27443000,L1293,23.5
34796000,L1293,17
31577SD0,L1003,"3 1/2"""
31642AP0,L1003,"3 1/2"""
31644AP0,L1003,"3 1/2"""
28398BE0,L1051,900
269302431,L1051,900
28399AV0,L1051,900
27841000,L1051,900
27785000,L1052,30
27841000,L1052,30
27275001,L1052,30
27734000,L1052,30
26932001,L1052,30
27646001,L1052,30
27838000,L1049,1250
29527DC0,L1049,2000
27507001,L1049,2000
31643AP0,L1204,80
27322000,L1293,8.2
26679001,L1293,7.4
26067KF0,L1107,142
27786002,L1042,III
27796003,L1042,III
27475002,L1291,III
27421002,L1291,III
266782431,L1381,7.4
26720001,L1381,7.6
27221001,L1381,16.6
279462431,L1381,7.4
27945001,L1381,7.6
27852003,L1381,16.6
25276003,L1381,7.4
25275002,L1381,13.5
27298001,L1381,11.5
27400GN0,L1293,8.2
38682000,L1169,0.82
32101000,L1011,Y2
265972430,L1044,150
24093004,L1293,34
24093AL4,L1293,34
273192430,L1293,16.6
107056DA00,L1293,37.5
32618GN4,L1006,XL
237902431,L1006,XS
106065LS00,L1147,191.5
107056KF00,L1107,430
107055DA00,L1380,37.5
28196MB0,L1291,IV
26929001,L1293,13.5
26928001,L1293,13.5
26955001,L1293,13.5
27641000,L1102,210
28373000,L1102,210
27575002,L1042,IV
26697001,L1102,250X250
26883000,L1102,230X230
21142DC0,L1006,XL
24170GN1,L1006,XL
26063000,L1107,175
2696010E,L1044,110
26958001,L1044,110
26643000,L1102,310
26648000,L1102,310
26173LS0,L1000,26
26173000,L1000,26
26256000,L1000,26
26580000,L1044,130
26574A00,L1044,130
26596000,L1044,130
26574AL0,L1044,130
28261001,L1042,III
24373IG0,L1293,34
24093003,L1293,34
24057DL1,L1293,34
19577DC1,L1293,22
24372000,L1293,10
27942000,L1293,5.5
25251DL1,L1293,22
25227GL0,L1293,21.5
27799001,L1293,12.5
24357GL0,L1293,18
24353DL0,L1293,13
25221A01,L1293,21.5
26098000,L1293,9
26560MS0,L1293,7.5
2726500E,L1293,5.5
24059003,L1293,30
26475MS0,L1293,44
27633000,L1293,23.5
23559001,L1079,"3/8"""
23899001,L1079,"3/8"""
25248001,L1049,1250
2779810E,L1049,1250
25251KF1,L1049,2000
26578LS0,L1293,12.5
27408LS1,L1051,900
269082433,L1051,900
27368000,L1051,900
26961001,L1052,30
27345000,L1052,30
27750000,L1052,30
2639710E,L1293,5.6
26508A00,L1011,N
26507GN0,L1011,N
26564KF0,L1293,7.5
23882001,L1079,"3/8"""
26771003,L1293,7.4
26406003,L1293,7.4
26256000,L1380,7.5
26406003,L1381,7.4
26403002,L1381,9.5
26446000,L1381,9.5
26507LS0,L1381,16
26542000,L1381,16.5
26037001,L1381,6
26031001,L1381,7.4
26475MG0,L1380,44
26697001,L1381,7.4
26955001,L1381,13.5
2757130E,L1381,5.6
26673001,L1380,7.3
1072980000,L1044,110
37176000,L1148,575
37189000,L1148,575
100961DA00,L1293,8.4
100961KF00,L1044,130
1018680000,L1293,4.8
1016940000,L1079,"3/8"""
1018712430,L1020,140
100962GL00,L1293,15.3
13050000,L1147,140
100961GL00,L1293,8.4
13140000,L1147,180
100961KI00,L1381,8.4
14925SH0,L1000,23
102415SH00,L1308,60
13954L00,L3063,"7,8 L/MIN - 3,5 BAR"
100962DA00,L1042,III
13380000,L1147,175
0305500M,L3059,17
1009640000,L1044,130
23296GN1,L1079,"3/8"""
38328000,L1158,07
37681000,L1148,1000
28570000,L1051,900
19976001,L1049,2000
26874MS0,L1000,26
0128500M,L3059,13.5
26974001,L1293,7.4
22103000,L1049,2000
26874MS0,L1102,254X254
26475DC0,L1293,44
26163003,L1293,7.4
24099000,L1293,34
26837AL0,L1102,310
26075BE0,L1293,13.5
25046BE0,L1011,Y3
26475DA0,L1293,44
26837DA0,L1293,9.5
28145001,L1050,79
266772431,L1381,7.4
266872430,L1380,8.3
26481KF0,L1000,26
26198000,L1293,16
26971001,L1051,1150
26382001,L1293,9
267482433,L1381,7.4
27922001,L1102,210
26566A00,L1293,7.5
26980001,L1102,250
26945001,L1293,7.4
13927G00,L1293,30
26560DA0,L1380,7.5
24053001,L1293,30
26475GL0,L1102,310
26731000,L1000,26
26163003,L1052,30
26075AL0,L1381,11.5
26687000,L1293,8.3
26481DC0,L1102,310
39377LS0,L1222,6
39377XI0,L1222,6
34671000,L1011,N
34777000,L1011,N
31538000,L1018,C
32917DA0,L1018,C
28765000,L1042,IV
31299DC1,L1018,U
31884AP0,L1000,15
32618DC3,L1006,XL
38981000,L1222,6
38813001,L1222,6
42832000,L3063,"6,0 L/MIN"
31552SD1,L1203,RV
31568SD0,L1308,"87,3/51,3"
36113000,L1011,Y2
36532000,L1169,1.13
31187001,L1293,13
31129001,L1293,7.5
31255000,L1293,9.5
32917DC0,L1293,11.5
34727000,L1293,16.5
30617000,L1293,11
28762001,L1051,900
34784000,L1052,30
30362AL0,L1293,13
29307DC3,L1049,2000
28578002,L1381,7.5
48343DC0,L3063,"19,0 L/MIN - 3 BAR"
31483DC2,L1293,9.5
34566002,L1293,7.4
30339001,L1231,Y
30327KS1,L1231,Y
233452431,L1079,"3/8"""
239242433,L1079,"3/8"""
305502430,L1079,"3/8"""
313692431,L1079,"3/8"""
40889KF0,L1067,"24"""
32663003,L1018,C
30592000,L1018,C
31483DC1,L1018,C
31379DC0,L1018,SP
31379000,L1006,MEDIUM
32441DC1,L1006,LOW
24365KF0,L1006,XL
38643000,L1169,1.2
38544000,L1169,1.3
26860KF0,L1107,286
268112431,L1381,7.8
46765000,L3063,"5,7 L/MIN - 3 BAR"
48377000,L1293,5.7
48418DC0,L3063,"15,0 L/MIN - 3 BAR"
46965EN0,L3063,NO LIMIT
46895AL0,L1293,15
38786001,L1199,0
29407DC0,L1049,2000
46837G00,L1293,5.7
39881KF0,L1222,6
39930000,L1169,1.13
39418000,L1169,1.13
48408000,L3063,"5,7 L/MIN - 3 BAR"
38274000,L1169,1.2
31358DC1,L1018,C
37791SH0,L1199,0
32109AL1,L1079,"3/8"""
38950000,L1222,6
31648AT0,L1204,60
31456DC1,L1018,U
42901000,L1199,0
38998000,L1169,1.2
39336000,L1308,55
39112000,L1169,1.13
29408DC0,L1049,2000
32130001,L1006,XL
32277000,L1002,07
31126004,L1293,9.5
33975002,L1018,C
31582SD1,L1000,17
31584SD0,L1000,17
39338000,L1000,10
31573SD0,L1204,45
1039950000,L1107,380
1016800000,L1381,8.4
13317GL1,L1293,22.5
101680DC00,L1044,130
1039980000,L1044,130
1017562430,L1079,"3/8"""
101680DL00,L1042,III
13907DC0,L3063,"60,0 - 70,0 L/MIN - 3 BAR"
1017502430,L1014,N
102430SH00,L1308,55
1017672430,L1014,N
13967000,L3063,"25,2 L/MIN - 3 BAR"
13317A01,L1293,22.5
100739MS00,L1000,26
1012420000,L1018,U
1012400000,L1079,"3/8"""
1009610000,L1044,130
12092000,L1147,57
23428LS0,L1006,XL
23403MS1,L1006,XL
1017320000,L1079,"3/8"""
46919GN0,L1079,XXX
39116000,L1159,4
3957500H,L1000,10
31369000,L1018,C
38764001,L1222,6
46711000,L3063,"34,8 - 37,8 L/MIN - 3 BAR"
38585001,L1169,1.13
39939000,L1169,1.13
39415000,L1169,1.13
47091000,L1147,250
47414000,L1147,170
32186000,L1293,10
48465000,L1079,XXX
104746DL00,L1293,4.5
104990GL00,L1000,26
104745GL00,L1293,4.5
104993GN00,L1000,26
104780MS00,L1014,N
104993AL00,L1000,26
104744MG00,L1014,N
104747MG00,L1293,4.5
1047800000,L1293,4.5
104745AL00,L1293,4.5
104992MS00,L1000,26
27162L00,L1049,2000
33284001,L1002,07
23265000,L1293,13
27225001,L1051,900
33557002,L1002,07
33772001,L1006,LOW
31494000,L1018,C
31640AP0,L1308,86/50
26582DC0,L1044,130
26564A00,L1293,7.5
32322AL2,L1293,9
19578EN1,L1293,22
26250LS0,L1293,40
34854001,L1052,30
30583DC0,L1231,Y
31543DC0,L1231,Y
31179000,L1006,LOW
31563SD1,L1000,15
31657AT0,L1003,"3 1/2"""
31564SD1,L1203,RV
31564SD0,L1308,97/50
31180000,L1293,7.5
32917A00,L1293,11.5
31654AT0,L1204,60
266692430,L1293,8.3
266682430,L1293,8.3
26361LS0,L1381,9.5
26361000,L1381,9.5
26669000,L1380,8.3
26558DL0,L1380,7.5
26873000,L1380,9.6
34705000,L1381,11.5
34156003,L1011,N
27928003,L1293,13.5
27597003,L1293,13.5
31641AT0,L1000,15
31212003,L1018,C
30385000,L1018,C
27960001,L1102,210
27964000,L1102,210
27575000,L1042,IV
27615001,L1102,260
23570003,L1006,XL
31642AT0,L1308,100/50
23791AL1,L1006,XS
27220000,L1044,110
27239001,L1044,110
26075GN0,L1102,310
33281001,L1006,LOW
25229GL0,L1011,Y3
27911000,L1102,190
27586001,L1042,III
31577SD0,L1203,LH
36320000,L1011,Y2
26066DL0,L1107,380
26858000,L1107,286
32321DA2,L1293,9
19316DA1,L1293,22
25224GL0,L1293,21.5
26641000,L1293,7.5
33155002,L1293,13
25229DA0,L1293,21.5
27736000,L1293,9.5
27852001,L1293,16.5
28421002,L1293,7
23667000,L1100,29
19316GN1,L1049,2000
27273000,L1051,900
27785000,L1051,900
27226DC1,L1051,900
27277001,L1051,900
2764600E,L1051,900
28399AV0,L1052,30
27260000,L1052,30
26603GN0,L1052,30
26603DC0,L1052,30
29527AL0,L1049,2000
27513DL1,L1049,1250
31641AP0,L1204,60
279462431,L1293,7.4
27601003,L1293,7.4
27946001,L1293,7.4
27226AL1,L1293,16.6
27644003,L1042,III
31491000,L1018,SP
263992431,L1381,7.4
27221000,L1381,16.6
27227001,L1381,17
27947002,L1381,7.4
27748000,L1381,9.5
27326000,L1381,16.6
27574002,L1381,9
2760110E,L1381,5.5
26689001,L1380,7.3
26692001,L1380,7.3
26075GL0,L1380,13.5
26114002,L1380,16
27964000,L1380,16
33628001,L1381,11
27262000,L1051,900
134864AL00,L1044,120
28239IG0,L1042,IV
28504000,L1291,III
264002431,L1102,310
107056LS00,L1102,360
291192430,L1293,29
24093GN4,L1293,34
106867KF00,L1228,4
291192430,L1226,"3/4"""
237912431,L1079,"3/8"""
29306GN4,L1008,110 MM
237912431,L1006,XS
234052431,L1006,XL
27918000,L1051,900
28196RR0,L1291,IV
37753000,L1169,1.2
24164003,L1006,XL
26062000,L1102,210
26176001,L1042,III
27672XH0,L1042,IV
26065000,L1107,191
28233000,L1102,160
26443LS0,L1102,360X220
21142AL0,L1006,XL
27942001,L1044,110
26959001,L1044,110
27316000,L1044,110
26477A00,L1000,26
26883000,L1000,26
26583000,L1044,130
26574DC0,L1044,130
26107000,L1044,130
26481MG0,L1293,44
24356DC0,L1293,34
26639000,L1293,9.5
25221DA1,L1293,21.5
24356000,L1293,34
27573002,L1293,9
27367000,L1293,15
24057A01,L1293,34
26479LS0,L1293,44
19577AL1,L1293,22
24057BE1,L1293,34
26479MS0,L1293,44
24071A00,L1293,34
26462000,L1293,7.5
26196000,L1293,16
24354DL0,L1293,30
24354000,L1293,30
24059002,L1293,30
26647000,L1293,13.5
26479LS0,L1107,400
23048002,L1049,2000
25221A01,L1049,2000
27788001,L1051,900
26603A00,L1051,900
2696010E,L1293,5.6
27368000,L1293,8.2
27232001,L1293,17
26032001,L1042,III
27615KF2,L1291,III
26562LS0,L1380,7.5
2639710E,L1381,5.6
26479GN0,L1380,11.5
26507GN0,L1381,16
269542431,L1381,7.4
27316000,L1381,8.2
26648LS0,L1380,9.5
26811001,L1380,7.3
266722431,L1381,5.6
37190000,L1148,575
1009620000,L1380,15.3
13999DC0,L3063,"9,0 L/MIN - 3 BAR"
100961GL00,L1380,8.4
13999000,L3063,"9,0 L/MIN - 3 BAR"
13961000,L3063,"25,2 L/MIN - 3 BAR"
1009620000,L1044,130
20576000,L1006,XS
14930000,L1000,23
100962DC00,L1381,8.4
13950000,L3063,"9,0 L/MIN - 3 BAR"
13374AL0,L3063,"5,7 L/MIN"
13998000,L3063,"5,7 L/MIN"
1018750000,L1008,153 MM
1018362430,L1079,"3/8"""
25248GF1,L1049,1250
23106DL1,L1079,"3/8"""
23790DL1,L1079,"3/8"""
23444DL1,L1008,110 MM
25015BE0,L1011,Y3
31242002,L1018,U
28569000,L1051,900
28571000,L1051,900
28362001,L1049,1250
26974001,L1381,7.4
26566DA0,L1380,7.5
26335001,L1049,1250
266772431,L1380,7.3
26874MG0,L1000,26
26508GL0,L1011,N
26888000,L1291,III
26475A00,L1293,44
22121KF0,L1102,310
26481DA0,L1107,142
26560A00,L1000,26
25044DA3,L1011,Y3
23459003,L1293,8.3
13935000,L1293,5.7
19923003,L1049,2000
27923003,L1381,7.6
27759000,L1052,30
23406AL0,L1006,XL
267462433,L1044,110
27924001,L1381,9
267482433,L1293,7.4
26885GL0,L1381,9.5
26566DC0,L1107,142
13929L00,L1293,15
19381000,L1008,110 MM
26182000,L1042,III
26461000,L1380,7.5
26733000,L1293,36
30505000,L1293,6
30307001,L1006,LOW
30083KS1,L1231,Y
39431000,L1000,10
32321GN2,L1018,C
31483001,L1018,C
31481000,L1018,C
32224002,L1006,LOW
31318000,L1006,MEDIUM
30464DC0,L1006,MEDIUM
39000000,L1159,6
39950000,L1000,23
39949000,L1000,23
36531000,L1169,1.13
39563000,L1169,1.13
38811000,L1169,1.13
39377LS0,L1169,1.13
38832000,L1169,1.13
39377LS0,L1148,575
32590001,L1293,34
34804000,L1293,22.5
31717000,L1293,11
30444DL0,L1293,10
31375AL0,L1293,11.5
32321GN2,L1293,9
345982430,L1293,26
32846000,L1293,34
34598000,L1293,26
29405DC0,L1049,2000
29405000,L1049,2000
40575002,L1214,3000
31726SD0,L1204,60
64186DC0,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
06574DL0,L3063,"13,5 - 15,0 L/MIN - 3 BAR"
32175000,L1293,13
33412003,L1293,22
32950DC0,L1293,14.5
31379000,L1293,14.5
29123GN0,L1293,29
34842000,L1293,16
29904LS0,L1293,36
32950AL0,L1293,13.5
29121000,L1293,36
25222KF1,L1293,22
24356KF0,L1293,34
24364KF0,L1293,10
38587000,L1222,6
30592000,L1231,Y
40887KF0,L1067,"8"""
31587SD0,L1000,15
30262001,L1018,C
30595DC0,L1018,U
30567DC0,L1018,U
31379DC0,L1016,09
30294DL0,L1016,09
25227KF0,L1011,Y3
31688000,L1006,MEDIUM
28575000,L1052,30
26888KF0,L1291,III
26888KF0,L1380,35.5
39111LK0,L1000,23
29407AL0,L1293,22
38786001,L1169,1.13
39930000,L1159,4
65621K00,L3063,MAX. 20 L/MIN
42133000,L1147,160
48173000,L1293,37.8
38750000,L1169,1.2
31585SD0,L1000,17
37854000,L1169,0.82
31585SD0,L1308,"102,4/56"
30470DC0,L1018,U
39112001,L1169,1.13
29408DA0,L1293,22
29408GL0,L1049,2000
30274DC0,L1293,9
31647AP0,L1203,RV
32843002,L1018,C
38675000,L1169,1.2
31583SD0,L1204,60
39807000,L1000,23
34769001,L1052,30
39336000,L1000,23
37854000,L1148,575
30590000,L1231,Y
39337000,L1308,60
31358000,L1018,C
38699001,L1199,0
103848SH00,L1000,23
32632LS0,L1006,XS
101680AL00,L1044,130
101680GN00,L1042,III
27428000,L1102,190
13989000,L1293,17.8
101680KF00,L1042,III
1039939990,L1079,XXX
2313100E,L1002,07
20422000,L1006,XS
19998000,L1100,29
24340DC0,L1293,34
23123001,L1293,4.5
20351000,L1293,13
24364MS0,L1293,10
19966000,L1049,2000
19897001,L1049,2000
24365AL0,L1006,XL
1018100000,L1079,"3/8"""
1009610000,L1380,8.4
38525001,L1222,6
39367000,L1199,0
39346000,L1000,10
37419SD0,L1222,6
39116000,L1222,6
37419000,L1222,6
31120002,L1006,MEDIUM
3932300H,L1000,23
48196DC0,L3063,"19,0 L/MIN"
39324000,L1308,45
39552000,L1169,1.13
46053000,L1147,85
3947600H,L1308,80
28769000,L1052,30
104990MS00,L1102,XXX
104745MG00,L1293,4.5
104744DL00,L1006,XL
104993GL00,L1000,26
104742GL00,L1014,N
104780DL00,L1014,N
104987KF00,L1000,26
27162IG0,L1049,2000
28933001,L1051,900
28308000,L1102,75
29124DC0,L1293,29
27698000,L1381,15
31498AL1,L1231,Y
31640AT0,L1000,15
31498DC1,L1018,C
30083000,L1018,C
32671000,L1018,C
32322DC0,L1018,U
26863000,L1102,762X1016
32901DC1,L1006,XL
24365MG0,L1006,XL
23114DC0,L1006,XL
31574AL0,L1308,"54,4/44,4"
32669000,L1006,LOW
30198000,L1006,MEDIUM
26587000,L1044,130
36116000,L1011,Y2
31613DA0,L1293,10
26568LS0,L1293,7.5
26558000,L1293,7.5
26558DL0,L1293,7.5
30083DC1,L1293,6
31574DL1,L1003,"3 1/2"""
26358000,L1049,1000
34482001,L1051,900
26587000,L1051,900
26558DA0,L1102,310
26250LS0,L1011,N
31455000,L1231,Y
32917A00,L1018,C
31455AL1,L1018,C
31562SD0,L1000,15
31564SD1,L1308,"96,5/50"
31653AT0,L1308,"45,7/40,6"
31656AP0,L1308,51
32768000,L1011,Y2
32322DL2,L1293,9
31563SD1,L1204,60
31593DC2,L1293,10
34868000,L1380,19
34853001,L1381,7.4
34720000,L1381,11.5
26670001,L1381,5.6
32950000,L1016,09
30294000,L1016,09
23784000,L1006,XL
31454DC1,L1231,Y
30126DC0,L1018,C
31203002,L1018,C
31203000,L1018,C
28421001,L1042,IV
266882430,L1102,250X250
26858000,L1102,230X230
26071000,L1102,254X254
27863000,L1102,230X230
21149MG0,L1006,XL
21149GN0,L1006,XL
31576SD1,L1308,"58,5/44"
2794610E,L1044,110
27945001,L1044,110
26931001,L1044,110
27588003,L1044,110
26075EN0,L1102,310
26558MS0,L1102,310
26560000,L1000,26
26066GL0,L1107,380
26861000,L1107,160
27748000,L1293,9.5
33614002,L1293,22
30385000,L1293,9.5
30126000,L1293,9.5
26652000,L1293,9.5
27447000,L1293,23.5
23722003,L1293,16
27853001,L1293,16.5
32794000,L1100,29
28142002,L1049,1250
19316MG1,L1049,2000
25226DA0,L1049,2000
27260000,L1051,900
27500000,L1051,900
26603GL0,L1051,900
28398000,L1051,900
26603GL0,L1052,30
27755000,L1052,30
27854001,L1052,30
269302431,L1052,30
27173001,L1049,2000
27924003,L1293,7.6
269802431,L1293,7.9
27888000,L1293,8.2
27600003,L1042,III
26641000,L1380,7.5
27951000,L1381,5.5
27964000,L1381,15.5
27949002,L1381,7.4
26931001,L1381,13.5
27447000,L1381,23.5
27443000,L1381,23.5
26075001,L1380,13.5
27298001,L1380,15.5
27966000,L1381,11.5
27400000,L1381,8.2
29126GL0,L1293,36
1348632430,L1042,III
1348660000,L1044,120
134866DL00,L1042,III
134864DC00,L1044,120
134863DC00,L1042,III
32427000,L1006,XL
13927Z00,L3063,"30,0 L/MIN - 3 BAR"
23846AL4,L1049,1250
107055GN00,L1102,400X230
107056KI00,L1102,360
265642430,L1293,7.5
107056DC00,L1107,430
264792430,L1380,44
27919000,L1052,30
30157000,L1018,U
37753000,L1148,450
26952001,L1293,13.5
28261003,L1293,13.5
26925001,L1293,13.5
26594000,L1044,150
27672TN0,L1042,IV
26446000,L1102,360X220
26698001,L1102,250X250
24346DC0,L1006,XL
24170KF1,L1006,XL
28261003,L1044,110
26951001,L1044,110
26513000,L1044,110
26918003,L1044,110
27788003,L1044,110
263972431,L1044,110
27941001,L1044,110
26479LS0,L1102,310
26507GN0,L1102,310
26561LS0,L1102,310
26566MS0,L1000,26
26566MG0,L1000,26
26582GN0,L1044,130
26574DL0,L1044,130
26544000,L1044,130
26837GL0,L1293,9.5
24092EN1,L1293,34
24057EN1,L1293,34
24092BE1,L1293,34
24059DC3,L1293,34
26560GN0,L1293,7.5
26648LS0,L1293,9.5
23147001,L1293,13
24057AL1,L1293,34
24135DC3,L1293,18
27944000,L1293,5.5
24353DC0,L1293,13
24094DC0,L1293,34
24355DC0,L1293,18.5
26842000,L1293,38
23885001,L1293,3.5
23902001,L1293,3.5
24071000,L1293,30
23894001,L1293,3.5
26647LS0,L1293,13.5
27930000,L1049,2000
19316AL1,L1049,2000
19577000,L1049,2000
27799003,L1049,1250
25251AL1,L1049,2000
26840000,L1049,1000
25221DA1,L1049,2000
25220001,L1049,1250
26603000,L1051,900
27789002,L1052,30
28364001,L1050,59
26801AL0,L1361,75
26801000,L1361,75
26802GN0,L1361,75
26954001,L1293,7.4
263972431,L1293,7.4
26904003,L1293,7.4
27317000,L1293,16.6
26255000,L1380,7.5
26196000,L1381,16
26403001,L1381,9.5
264062433,L1381,7.4
26479LS0,L1380,44
26910003,L1381,7.4
27296001,L1381,11.5
