id,code,Link,language,market,title,short_text,long_text,Comments
170,Bokoma Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_BOKOMASPRAY4C_000_01/original/1280/ZZH_FB_BOKOMASPRAY4C_000_01.jpg,de,DE,Bokoma Strahl,Dynamischer Kopf- und Nacken-Massagestrahl,"Beleben Sie Kopf und Nacken unter der Dusche mit GROHE Bokoma: Ein „atmender“ Effekt, bei dem 8 Düsen einmal pro Sekunde öffnen und schließen.",
171,Drizzle Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_DRIZZLESPRAY4C_000_01/original/1280/ZZH_FB_DRIZZLESPRAY4C_000_01.jpg,de,DE,Drizzle Strahl,Sanfter Nebel-Duschstrahl,Sanft und erfrischend wie leichter Nebel: Der GROHE Drizzle-Strahl ist ein sanfter Start in den Tag.,
172,LongLife Head Parts,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_LONGLIFEHEADPARTS4C_000_01/original/1280/ZZH_FB_LONGLIFEHEADPARTS4C_000_01.jpg,de,DE,LongLife Oberteile,Langlebige Ventile für eine zuverlässige Bedienung,"Hochwertige, langlebige GROHE Ventile im Inneren sorgen für eine dauerhaft präzise und zuverlässige Bedienung.",
173,Hose For Pull-Out Shower,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_PULLOUTSHOWERHOSE4C_000_01/original/1280/ZZH_TS_PULLOUTSHOWERHOSE4C_000_01.jpg,de,DE,Schlauch für Ausziehbrause,Ausziehbarer Schlauch für Badewannen-Handbrausen,Ausziehbarer Schlauch für Badewannen-Handbrausen,
174,Metal Hand Shower,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_METALHANDSHOWER4C_000_01/original/1280/ZZH_TS_METALHANDSHOWER4C_000_01.jpg,de,DE,Handbrause aus Metall,"Langlebige, solide Handbrause aus Metall","Langlebige, solide Handbrause aus Metall",
175,Metal Plate,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_METALPLATE4C_000_01/original/1280/ZZH_TS_METALPLATE4C_000_01.jpg,de,DE,Platte aus Metall,"Hochwertige, solide Wandplatte aus Metall","Hochwertige, solide Wandplatte aus Metall",
176,Metal Shower Head,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_METALSHOWERHEAD4C_000_01/original/1280/ZZH_TS_METALSHOWERHEAD4C_000_01.jpg,de,DE,Kopfbrause aus Metall,Duschkopf aus massivem Metall,Duschkopf aus massivem Metall,
177,Metal Shower Hose,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_METALSHOWERHOSE4C_000_01/original/1280/ZZH_TS_METALSHOWERHOSE4C_000_01.jpg,de,DE,Brauseschlauch aus Metall,Hochwertiger Duschschlauch aus Metall,Hochwertiger Duschschlauch aus Metall,
178,Pure Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_PURESPRAY4C_000_01/original/1280/ZZH_FB_PURESPRAY4C_000_01.jpg,de,DE,Pure Strahl,"Reiner, unverfälschter Wasserstrahl","Genießen Sie die sanfte Intensität des Pure Strahl, der aus der Mitte des Duschkopfes kommt, für ein einzigartig entspannendes Gefühl auf Ihrer Haut.",
179,Pure XL Spray,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_PUREXLSPRAY4C_000_01/original/1280/ZZH_FB_PUREXLSPRAY4C_000_01.jpg,de,DE,PureXL Strahl,"Extra großer, zentraler Wasserstrahl",Rein und weich: Pure XL ist ein besonders großzügiger Wasserstrahl direkt aus der Mitte des Duschkopfs – erfrischend wie eine Bergquelle.,
180,Spray Face Round 100mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SPRAYFACEROUND1004C_000_01/original/1280/ZZH_TS_SPRAYFACEROUND1004C_000_01.jpg,de,DE,Runder Brauseboden 100 mm,100 mm runder Brauseboden,100 mm runder Brauseboden,
181,Spray Face Round 400mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SPRAYFACEROUND4004C_000_01/original/1280/ZZH_TS_SPRAYFACEROUND4004C_000_01.jpg,de,DE,Runder Brauseboden 400 mm,400 mm runder Brauseboden,400 mm runder Brauseboden,
182,Shower Hose 1000mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SHOWERHOSE10004C_000_01/original/1280/ZZH_TS_SHOWERHOSE10004C_000_01.jpg,de,DE,Brauseschlauch 1000 mm,1000 mm Brauseschlauch,1000 mm Brauseschlauch,
183,Shower Hose 2000mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SHOWERHOSE20004C_000_01/original/1280/ZZH_TS_SHOWERHOSE20004C_000_01.jpg,de,DE,Brauseschlauch 2000 mm,2000 mm Brauseschlauch,2000 mm Brauseschlauch,
184,Shower Hose 500mm,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_SHOWERHOSE5004C_000_01/original/1280/ZZH_TS_SHOWERHOSE5004C_000_01.jpg,de,DE,Brauseschlauch 500 mm,500 mm Brauseschlauch,500 mm Brauseschlauch,
185,Waterfall,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_WATERFALL4C_000_01/original/1280/ZZH_FB_WATERFALL4C_000_01.jpg,de,DE,Waterfall,Erzeugt einen kaskadenartigen Wasserfall,Erleben Sie das Wasser in seiner ganzen Schönheit: Die extraweite Öffnung erzeugt einen großzügigen Wasserfall-Effekt.,
186,Adjustable Wall Holder,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_ADJUSTABLEWALLHOLDER4C_000_01/original/1280/ZZH_FB_ADJUSTABLEWALLHOLDER4C_000_01.jpg,de,DE,Verstellbarer Wandhalter,Drehbarer Handbrausehalter für den besten Winkel,"Der Halterwinkel lässt sich leicht einstellen, um die Handbrause genau nach Wunsch zu positionieren.",
187,Lead Free Compliant,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_LEADFREECOMPLIANT4C_000_01/original/1280/ZZH_FB_LEADFREECOMPLIANT4C_000_01.jpg,de,DE,Bleifrei konform,Kein Wasserkontakt mit Blei im Inneren der Armatur,Die fortschrittliche innere Isolierrung hält das Wasser in der Armatur bleifrei – in Übereinstimmung mit den Vorschriften zur Wassersicherheit.,
188,Heated Seat,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_HEATEDSEAT4C_000_01/original/1280/ZZH_FB_HEATEDSEAT4C_000_01.jpg,de,DE,Beheizter Sitz,Angenehm beheizter WC-Sitz,Genießen Sie den sanften Komfort eines beheizten WC-Sitzes – für ein angenehmes Gefühl selbst bei kalten Temperaturen.,
189,UK Standard Connection,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_HALFINCHCONNECTION4C_000_01/original/1280/ZZH_TS_HALFINCHCONNECTION4C_000_01.jpg,de,DE,Halbzoll-Anschluss,Anschluss für ein ½-Zoll-Eckventil,Anschluss für ein ½-Zoll-Eckventil,
190,Low Flow Rate,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_LOWFLOWRATE4C_000_01/original/1280/ZZH_FB_LOWFLOWRATE4C_000_01.jpg,de,DE,Niedrige Durchflussrate,Niedrige Durchflussmenge für höchste Effizienz,"Spart wertvolle Ressourcen und Kosten: Der Strahlregler begrenzt den Wasserverbrauch auf einen besonders nachhaltigen Durchfluss von max. 3,5 l/min (bei 3 bar).",
191,GROHE DripStop,#N/A,de,DE,GROHE DripStop,,,
192,2 Years Guarantee,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_TWOYEARS4C_000_01/original/1280/ZZH_ME_TWOYEARS4C_000_01.jpg,de,DE,2 Jahre Garantie*,* Details zur Garantie finden Sie unter [URL],* Details zur Garantie finden Sie unter [URL],
193,2 Plus 1 Years Guarantee,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_TWOPLUSONEYEAR4C_000_01/original/1280/ZZH_ME_TWOPLUSONEYEAR4C_000_01.jpg,de,DE,2+1 Jahre verlängerte Garantie*,* Details zur Garantie finden Sie unter [URL],* Details zur Garantie finden Sie unter [URL],
194,5 Years Guarantee,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_FIVEYEARS4C_000_01/original/1280/ZZH_ME_FIVEYEARS4C_000_01.jpg,de,DE,5 Jahre Garantie*,* Details zur Garantie finden Sie unter [URL],* Details zur Garantie finden Sie unter [URL],
195,5 Plus 1 Years Guarantee,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_FIVEPLUSONEYEAR4C_000_01/original/1280/ZZH_ME_FIVEPLUSONEYEAR4C_000_01.jpg,de,DE,5+1 Jahre verlängerte Garantie*,* Details zur Garantie finden Sie unter [URL],* Details zur Garantie finden Sie unter [URL],
196,5 Plus 2 Years Guarantee,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_FIVEPLUSTWOYEARS4C_000_01/original/1280/ZZH_ME_FIVEPLUSTWOYEARS4C_000_01.jpg,de,DE,5+2 Jahre verlängerte Garantie*,* Details zur Garantie finden Sie unter [URL],* Details zur Garantie finden Sie unter [URL],
197,10 Years Guarantee,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_TENYEARS4C_000_01/original/1280/ZZH_ME_TENYEARS4C_000_01.jpg,de,DE,10 Jahre Garantie*,* Details zur Garantie finden Sie unter [URL],* Details zur Garantie finden Sie unter [URL],
198,10 Years Spare Parts Availability,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_TENYEARSSPAREPARTS4C_000_01/original/1280/ZZH_ME_TENYEARSSPAREPARTS4C_000_01.jpg,de,DE,10 Jahre Ersatzteilverfügbarkeit*,* Details zur Verfügbarkeit finden Sie unter [URL],* Details zur Verfügbarkeit finden Sie unter [URL],
199,15 Years Spare Parts Availability,https://cdn.cloud.grohe.com/zzh_i/M/ME_/ZZH_ME_FIFTEENYEARSSPAREPARTS4C_000_01/original/1280/ZZH_ME_FIFTEENYEARSSPAREPARTS4C_000_01.jpg,de,DE,15 Jahre Ersatzteilverfügbarkeit*,* Details zur Verfügbarkeit finden Sie unter [URL],* Details zur Verfügbarkeit finden Sie unter [URL],
200,Bacteria Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_BACTERIAREDUCTION4C_000_01/original/1280/ZZH_FB_BACTERIAREDUCTION4C_000_01.jpg,de,DE,Bacteria Reduction,"99,999% of bacteria are filtered out",The Ultrasafe membrane captures 99.999% of bacteria. It forms a barrier to harmful micro-organisms and guarantees total purity and ultimate hygiene.,
201,Automatic Pressure Release,,de,DE,Automatic Pressure Release,#N/A,#N/A,
202,Child Lock,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_CHILDLOCK4C_000_01/original/1280/ZZH_FB_CHILDLOCK4C_000_01.jpg,de,DE,Child Lock,Childproof safety handle to activate boiling water,The independently certified childproof lock requires a two-step movement of the left handle to activate boiling hot water flow.,
203,Chlorine Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_CHLORINEREDUCTION4C_000_01/original/1280/ZZH_FB_CHLORINEREDUCTION4C_000_01.jpg,de,DE,Chlorine Reduction,"Reduces chlorine, improves taste","Activated carbon filtration significantly reduces substances such as chlorine, for drinking water with a pure taste and no unpleasant odour.",
204,Detachable Nozzle,,de,DE,Detachable Nozzle,#N/A,#N/A,
205,Easy Connection,,de,DE,Easy Connection,#N/A,#N/A,
206,GROHE CO2 Display,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_CO2DISPLAY4C_000_01/original/1280/ZZH_FB_CO2DISPLAY4C_000_01.jpg,de,DE,GROHE CO2 Display,Easy-to-read CO₂ capacity,"The integrated display clearly shows the remaining capacity in the CO₂ bottle, allowing you to track use and order replacements easily and reliably.",
207,GROHE CO2 Level Preset,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_CO2LEVELPRESET4C_000_01/original/1280/ZZH_FB_CO2LEVELPRESET4C_000_01.jpg,de,DE,GROHE CO2 Level Preset,Set CO₂ levels with a turn,"Select your preferred carbonisation level – soft, medium or sparkling – via a simple preset dial.",
208,GROHE One-push Carbonisation,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_ONEPUSHCARBONISATION4C_000_01/original/1280/ZZH_FB_ONEPUSHCARBONISATION4C_000_01.jpg,de,DE,GROHE One-push Carbonisation,Push once to carbonate,"Preset your desired CO₂ level, then start the fizz flowing instantly with simple, reliable one-push technology.",
209,GROHE Smartphone App,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_SMARTPHONEAPP4C_000_01/original/1280/ZZH_FB_SMARTPHONEAPP4C_000_01.jpg,de,DE,GROHE Smartphone App,Easy control via smartphone,Download the GROHE App to set up and control this GROHE product with your smartphone.,
210,Heavy Metals Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_HEAVYMETALSREDUCTION4C_000_01/original/1280/ZZH_FB_HEAVYMETALSREDUCTION4C_000_01.jpg,de,DE,Heavy Metals Reduction,Reduces undesireable particles,"Enjoy peace of mind that water is filtered, significantly reducing fine particles, heavy metals and other substances that can affect human health.",
211,Lead Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_LEADREDUCTION4C_000_01/original/1280/ZZH_FB_LEADREDUCTION4C_000_01.jpg,de,DE,Lead Reduction,Removes up to 99.5% of lead,Removes lead in the water – often caused by old pipes – that can be harmful to human health by up to 99.5%.,
212,Lime Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_LIMEREDUCTION4C_000_01/original/1280/ZZH_FB_LIMEREDUCTION4C_000_01.jpg,de,DE,Lime Reduction,Reduces lime for enhanced taste,"This filter significantly reduces the lime content of drinking water, improving the taste as well as extending the life of your household appliances.",
213,Multi Push Carbonization,,de,DE,Multi Push Carbonization,#N/A,#N/A,
214,Particle Filtration,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_PARTICLEFILTRATION4C_000_01/original/1280/ZZH_FB_PARTICLEFILTRATION4C_000_01.jpg,de,DE,Particle Filtration,Enhanced water quality,"Particle filtration removes unwanted materials and impurities like coarse particles, so you can enjoy an enhanced drinking water quality from the tap.",
215,Reverse Osmosis,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_REVERSEOSMOSIS4C_000_01/original/1280/ZZH_FB_REVERSEOSMOSIS4C_000_01.jpg,de,DE,Reverse Osmosis,"Filters bacteria, viruses, hormones and nitrates","Reverse Osmosis filters out significant levels of bacteria, viruses, pharmaceutical residues, hormones, and nitrates, for safe drinking water.",
216,Separated Inner Water Ways,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_SEPARATEDINNERWATERWAYS4C_000_01/original/1280/ZZH_FB_SEPARATEDINNERWATERWAYS4C_000_01.jpg,de,DE,Separated Inner Water Ways,No mixing of filtered water,Separated inner waterways ensure filtered drinking water and standard water never mix inside the tap.,
217,Silent Cooling,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_SILENTCOOLING4C_000_01/original/1280/ZZH_FB_SILENTCOOLING4C_000_01.jpg,de,DE,Silent Cooling,Very quiet standby cooling below 30 db(A),Improved cooling technology for quieter cooling – ideal for open-plan kitchens – with standby cooling sound levels below 30 db(A),
218,Stainless Steel Nozzle,,de,DE,Stainless Steel Nozzle,#N/A,,
219,Virus And Bacteria Reduction,https://cdn.cloud.grohe.com/zzh_i/F/FB_/ZZH_FB_VIRUSBACTERIAREDUCTION4C_000_01/original/1280/ZZH_FB_VIRUSBACTERIAREDUCTION4C_000_01.jpg,de,DE,Virus And Bacteria Reduction,Health-protecting filtered water,"The Reverse Osmosis filter significantly reduces bacteria, viruses and hormones which can cause diseases and may be risky to a human health.",
220,1 Plus 1 Spray Type,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_1PLUS1SPRAYTYPE4C_000_01/original/1280/ZZH_TS_1PLUS1SPRAYTYPE4C_000_01.jpg,de,DE,1 Plus 1 Strahlart,Kopf- und Handbrause mit einer Strahlart,Kopf- und Handbrause mit einer Strahlart,
221,1 Plus 4 Spray Types,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_1PLUS4SPRAYTYPES4C_000_01/original/1280/ZZH_TS_1PLUS4SPRAYTYPES4C_000_01.jpg,de,DE,1 Plus 4 Strahlarten,"Kopfbrause: 1 Strahlart, Handbrause: 4 Strahlarten","Kopfbrause: 1 Strahlart, Handbrause: 4 Strahlarten",
222,4 Sprays,https://cdn.cloud.grohe.com/zzh_i/T/TS_/ZZH_TS_4SPRAYS4C_000_01/original/1280/ZZH_TS_4SPRAYS4C_000_01.jpg,de,DE,4 Strahlarten,Brause mit 4 verschiedenen Strahlarten,Brause mit 4 verschiedenen Strahlarten,
