sku,included_1,included_2,included_3,included_4,included_5,included_6,included_7,included_8,included_9,included_10,not_included_1,not_included_2,not_included_3,not_included_4,not_included_5,not_included_6,not_included_7,not_included_8,not_included_9,not_included_10,language,market
48474000,,,,,,,,,,,,,,,,,,,,,de,DE
40341GL1,,,,,,,,,,,,,,,,,,,,,de,DE
40342DA1,,,,,,,,,,,,,,,,,,,,,de,DE
40342GN1,,,,,,,,,,,,,,,,,,,,,de,DE
23763001,,,,,,,,,,,,,,,,,,,,,de,DE
23778001,,,,,,,,,,,,,,,,,,,,,de,DE
29181DA2,,,,,,,,,,,,,,,,,,,,,de,DE
38629001,,,,,,,,,,,,,,,,,,,,,de,DE
36464000,,,,,,,,,,,,,,,,,,,,,de,DE
23843AL3,,,,,,,,,,,,,,,,,,,,,de,DE
36337001,,,,,,,,,,,,,,,,,,,,,de,DE
34800000,,,,,,,,,,,,,,,,,,,,,de,DE
48405AL0,,,,,,,,,,,,,,,,,,,,,de,DE
24178001,,,,,,,,,,,,,,,,,,,,,de,DE
25249001,,,,,,,,,,,,,,,,,,,,,de,DE
25252001,,,,,,,,,,,,,,,,,,,,,de,DE
24170DA1,,,,,,,,,,,,,,,,,,,,,de,DE
25248DL1,,,,,,,,,,,,,,,,,,,,,de,DE
25250DA1,,,,,,,,,,,,,,,,,,,,,de,DE
24193001,,,,,,,,,,,,,,,,,,,,,de,DE
24200001,,,,,,,,,,,,,,,,,,,,,de,DE
24204002,GROHE QuickTool,Push-Open-Ablaufgarnitur,,,,,,,,,,,,,,,,,,,de,DE
46917DA0,,,,,,,,,,,,,,,,,,,,,de,DE
41168000,,,,,,,,,,,,,,,,,,,,,de,DE
411742430,,,,,,,,,,,,,,,,,,,,,de,DE
345942430,,,,,,,,,,,,,,,,,,,,,de,DE
21149GN0,,,,,,,,,,,,,,,,,,,,,de,DE
29396GN0,,,,,,,,,,,,,,,,,,,,,de,DE
23856DC1,,,,,,,,,,,,,,,,,,,,,de,DE
102435SH00,,,,,,,,,,,,,,,,,,,,,de,DE
1039960000,,,,,,,,,,,,,,,,,,,,,de,DE
104644KF00,,,,,,,,,,,,,,,,,,,,,de,DE
104745AL00,,,,,,,,,,,,,,,,,,,,,de,DE
104747MS00,,,,,,,,,,,,,,,,,,,,,de,DE
11741GN0,,,,,,,,,,,,,,,,,,,,,de,DE
48616GL0,,,,,,,,,,,,,,,,,,,,,de,DE
48424A00,,,,,,,,,,,,,,,,,,,,,de,DE
20662MS0,,,,,,,,,,,,,,,,,,,,,de,DE
21140MG0,,,,,,,,,,,,,,,,,,,,,de,DE
24368MS0,,,,,,,,,,,,,,,,,,,,,de,DE
25224MG0,,,,,,,,,,,,,,,,,,,,,de,DE
26860MG0,,,,,,,,,,,,,,,,,,,,,de,DE
40339MS1,,,,,,,,,,,,,,,,,,,,,de,DE
40967MG1,,,,,,,,,,,,,,,,,,,,,de,DE
101243DC00,,,,,,,,,,,,,,,,,,,,,de,DE
08864GN0,,,,,,,,,,,,,,,,,,,,,de,DE
46581GN0,,,,,,,,,,,,,,,,,,,,,de,DE
14216MS0,,,,,,,,,,,,,,,,,,,,,de,DE
42375MS0,,,,,,,,,,,,,,,,,,,,,de,DE
48177DL0,,,,,,,,,,,,,,,,,,,,,de,DE
104777MG00,,,,,,,,,,,,,,,,,,,,,de,DE
104778GL00,,,,,,,,,,,,,,,,,,,,,de,DE
08864A00,,,,,,,,,,,,,,,,,,,,,de,DE
101277GN00,,,,,,,,,,,,,,,,,,,,,de,DE
101351DL00,,,,,,,,,,,,,,,,,,,,,de,DE
1060152430,,,,,,,,,,,,,,,,,,,,,de,DE
1060182430,,,,,,,,,,,,,,,,,,,,,de,DE
106071BM00,,,,,,,,,,,,,,,,,,,,,de,DE
49247GN0,,,,,,,,,,,,,,,,,,,,,de,DE
1060610000,,,,,,,,,,,,,,,,,,,,,de,DE
107416LS00,,,,,,,,,,,,,,,,,,,,,de,DE
40366EN1,,,,,,,,,,,,,,,,,,,,,de,DE
40369EN1,,,,,,,,,,,,,,,,,,,,,de,DE
23029A00,,,,,,,,,,,,,,,,,,,,,de,DE
26170000,,,,,,,,,,,,,,,,,,,,,de,DE
26365000,,,,,,,,,,,,,,,,,,,,,de,DE
32935DC1,,,,,,,,,,,,,,,,,,,,,de,DE
23741001,,,,,,,,,,,,,,,,,,,,,de,DE
26479LS0,,,,,,,,,,,,,,,,,,,,,de,DE
19286DL1,,,,,,,,,,,,,,,,,,,,,de,DE
28388DL0,,,,,,,,,,,,,,,,,,,,,de,DE
30270DA0,,,,,,,,,,,,,,,,,,,,,de,DE
33636GN1,,,,,,,,,,,,,,,,,,,,,de,DE
